id,user_id,type,data,is_read,created_at
1,31,job_application,"{""source_id"": 193, ""preview"": ""New activity on your content""}",True,2024-06-02 10:35:15
2,2,follow,"{""source_id"": 480, ""preview"": ""New activity on your content""}",False,2023-02-22 17:48:43
3,43,like,"{""source_id"": 110, ""preview"": ""New activity on your content""}",False,2025-01-16 07:25:28
4,42,like,"{""source_id"": 240, ""preview"": ""New activity on your content""}",True,2026-11-16 00:33:12
5,49,like,"{""source_id"": 339, ""preview"": ""New activity on your content""}",False,2026-10-26 06:48:41
6,9,like,"{""source_id"": 195, ""preview"": ""New activity on your content""}",True,2024-11-17 23:13:03
7,39,comment,"{""source_id"": 438, ""preview"": ""New activity on your content""}",True,2023-07-06 17:10:17
8,46,collection_add,"{""source_id"": 70, ""preview"": ""New activity on your content""}",False,2025-02-11 03:32:18
9,36,follow,"{""source_id"": 426, ""preview"": ""New activity on your content""}",True,2023-12-16 19:17:23
10,22,job_application,"{""source_id"": 145, ""preview"": ""New activity on your content""}",False,2024-04-11 10:03:40
11,23,collection_add,"{""source_id"": 55, ""preview"": ""New activity on your content""}",False,2023-07-16 19:22:10
12,15,follow,"{""source_id"": 69, ""preview"": ""New activity on your content""}",True,2023-08-01 17:11:02
13,13,like,"{""source_id"": 39, ""preview"": ""New activity on your content""}",False,2023-10-09 09:41:00
14,48,job_application,"{""source_id"": 214, ""preview"": ""New activity on your content""}",True,2025-11-05 11:32:05
15,38,job_application,"{""source_id"": 305, ""preview"": ""New activity on your content""}",False,2025-12-01 04:40:01
16,1,collection_add,"{""source_id"": 372, ""preview"": ""New activity on your content""}",False,2024-08-31 11:45:33
17,28,collection_add,"{""source_id"": 71, ""preview"": ""New activity on your content""}",True,2025-07-01 04:39:47
18,46,like,"{""source_id"": 114, ""preview"": ""New activity on your content""}",False,2026-08-27 16:03:32
19,35,team_invite,"{""source_id"": 231, ""preview"": ""New activity on your content""}",False,2026-12-21 13:09:34
20,27,job_application,"{""source_id"": 209, ""preview"": ""New activity on your content""}",True,2024-02-27 08:19:30
21,41,comment,"{""source_id"": 179, ""preview"": ""New activity on your content""}",False,2025-03-18 08:47:21
22,44,follow,"{""source_id"": 151, ""preview"": ""New activity on your content""}",True,2025-07-03 04:53:46
23,24,comment,"{""source_id"": 352, ""preview"": ""New activity on your content""}",True,2023-05-14 05:59:39
24,10,follow,"{""source_id"": 176, ""preview"": ""New activity on your content""}",False,2023-09-27 05:11:13
25,15,collection_add,"{""source_id"": 325, ""preview"": ""New activity on your content""}",False,2024-05-07 20:55:22
26,9,comment,"{""source_id"": 53, ""preview"": ""New activity on your content""}",True,2026-05-31 15:49:48
27,12,like,"{""source_id"": 269, ""preview"": ""New activity on your content""}",False,2026-03-28 08:29:09
