shot_id;category_id
1;3
2;6
3;6
4;1
5;5
6;1
7;3
8;7
9;6
10;5
11;7
12;1
13;7
14;2
15;1
16;6
17;4
18;3
19;1
20;5
21;4
22;5
23;1
24;4
25;2
26;3
27;7
28;3
29;3
30;5
31;3
32;7
33;4
34;1
35;5
36;2
37;5
38;7
39;3
40;6
41;5
42;3
43;6
44;2
45;6
46;7
47;5
48;3
49;6
50;2
51;3
52;1
53;7
54;7
55;6
56;1
57;6
58;4
59;2
60;2
61;5
62;1
63;4
64;4
65;4
66;4
67;2
68;1
69;4
70;3
71;2
72;6
73;2
74;6
75;3
76;7
77;3
78;1
79;7
80;1
81;4
82;6
83;2
84;1
85;4
86;1
87;6
88;4
89;3
90;7
91;3
92;7
93;2
94;5
95;2
96;4
97;6
98;2
99;6
100;4
101;7
102;4
103;7
104;2
105;5
106;7
107;3
108;5
109;4
110;7
111;1
112;3
113;5
114;6
115;7
116;6
117;7
118;3
119;4
120;2
121;3
122;7
123;7
124;1
125;3
126;4
127;1
128;7
129;7
130;7
131;5
132;6
133;3
134;3
135;7
136;4
137;4
138;2
139;3
140;3
141;1
142;7
143;6
144;4
145;7
146;7
147;6
148;7
149;7
150;5
151;6
152;7
153;7
154;1
155;2
156;7
157;7
158;4
159;1
160;6
161;3
162;7
163;5
164;1
165;6
166;1
167;2
168;1
169;6
170;1
171;3
172;1
173;2
174;6
175;7
176;6
177;5
178;4
179;7
180;7
181;6
182;2
183;2
184;3
185;2
186;3
187;1
188;3
189;5
190;3
191;3
192;3
193;3
194;5
195;3
196;7
197;4
198;5
199;4
200;4
201;4
202;7
203;6
204;6
205;3
206;6
207;4
208;7
209;4
210;4
211;6
212;7
213;1
214;6
215;4
216;6
217;6
218;2
219;2
220;7
221;2
222;6
223;3
224;4
225;6
226;5
227;3
228;6
229;2
230;6
231;3
232;6
233;3
234;6
235;6
236;4
237;5
238;5
239;7
240;4
241;7
242;1
243;4
244;5
245;2
246;7
247;4
248;7
249;4
250;4
251;5
252;5
253;6
254;7
255;1
256;2
257;5
258;4
259;6
260;1
261;2
262;5
263;5
264;6
265;4
266;2
267;3
268;4
269;5
270;7
271;5
272;4
273;4
274;2
275;3
276;7
277;6
278;3
279;2
280;1
281;1
282;3
283;2
284;6
285;6
286;4
287;3
288;4
289;5
290;1
291;4
292;2
293;6
294;4
295;1
296;6
297;7
298;2
299;4
300;7
301;3
302;4
303;1
304;7
305;1
306;7
307;1
308;7
309;3
310;4
311;6
312;5
313;1
314;5
315;1
316;3
317;7
318;7
319;7
320;7
321;1
322;5
323;3
324;3
325;5
326;2
327;2
328;4
329;5
330;6
331;4
332;1
333;5
334;1
335;7
336;3
337;6
338;5
339;3
340;2
341;6
342;1
343;1
344;6
345;5
346;2
347;4
348;2
349;3
350;5
351;3
352;7
353;2
354;2
355;5
356;4
357;6
358;2
359;4
360;2
361;5
362;3
363;7
364;6
365;3
366;5
367;6
368;4
369;1
370;2
371;7
372;6
373;2
374;3
375;1
376;3
377;6
378;3
379;1
380;1
381;3
382;3
383;5
384;6
385;2
386;4
387;5
388;2
389;3
390;2
391;7
392;2
393;7
394;1
395;4
396;3
397;6
398;4
399;6
400;2
401;1
402;2
403;2
404;4
405;1
406;3
407;6
408;3
409;7
410;3
411;5
412;1
413;7
414;7
415;1
416;5
417;3
418;2
419;4
420;7
421;2
422;2
423;7
424;6
425;3
426;3
427;4
428;1
429;1
430;1
431;5
432;1
433;6
434;7
435;5
436;3
437;3
438;6
439;5
440;5
441;7
442;5
443;4
444;4
445;3
446;1
447;3
448;5
449;4
450;2
451;7
452;7
453;4
454;4
455;6
456;1
457;6
458;5
459;1
460;1
461;7
462;6
463;6
464;5
465;6
466;3
467;4
468;3
469;1
470;4
471;7
472;7
473;4
474;7
475;3
476;2
477;1
478;5
479;7
480;7
481;6
482;6
483;4
484;3
485;3
486;5
487;6
488;6
489;1
490;5
491;5
492;5
493;7
494;1
495;3
496;1
497;1
498;7
499;7
500;3
