id,user_id,name,description,created_at
1,33,Inspiration Board,Curated collection by user #21,2025-10-20 11:30:11
2,4,UI Favorites,Curated collection by user #23,2025-10-11 06:33:10
3,24,Motion Works,Curated collection by user #14,2025-12-12 23:26:14
4,28,Motion Works,Curated collection by user #12,2023-12-01 06:03:44
5,36,Color Palettes,Curated collection by user #26,2025-06-14 09:16:17
6,46,Brand Projects,Curated collection by user #6,2025-03-06 21:30:35
7,38,Color Palettes,Curated collection by user #45,2023-07-16 19:29:51
8,50,Motion Works,Curated collection by user #17,2025-05-25 18:08:48
9,31,Inspiration Board,Curated collection by user #7,2025-04-07 02:34:01
10,49,Motion Works,Curated collection by user #5,2025-04-17 13:51:07
11,50,Motion Works,Curated collection by user #1,2025-11-13 19:58:05
12,35,Color Palettes,Curated collection by user #34,2025-11-18 18:16:22
13,46,Inspiration Board,Curated collection by user #5,2024-11-23 12:36:05
14,43,Inspiration Board,Curated collection by user #50,2026-01-04 02:56:19
15,39,UI Favorites,Curated collection by user #6,2024-07-23 20:19:51
16,30,Color Palettes,Curated collection by user #25,2024-10-22 05:48:48
17,25,Brand Projects,Curated collection by user #23,2023-10-10 11:12:25
18,41,UI Favorites,Curated collection by user #36,2026-08-05 20:06:19
19,36,UI Favorites,Curated collection by user #3,2026-11-08 09:13:16
20,3,Motion Works,Curated collection by user #18,2026-12-20 03:29:36
21,13,Inspiration Board,Curated collection by user #45,2026-09-06 18:42:16
22,10,Color Palettes,Curated collection by user #26,2023-11-23 09:21:41
23,10,Color Palettes,Curated collection by user #29,2023-02-04 04:01:35
24,20,UI Favorites,Curated collection by user #18,2023-06-17 21:29:25
25,43,Brand Projects,Curated collection by user #14,2025-07-16 09:42:38
26,28,Color Palettes,Curated collection by user #20,2024-01-27 12:35:10
27,45,Inspiration Board,Curated collection by user #7,2025-03-21 23:09:14
28,44,UI Favorites,Curated collection by user #10,2025-08-23 06:57:28
29,6,Color Palettes,Curated collection by user #14,2025-03-07 19:51:16
30,19,UI Favorites,Curated collection by user #18,2025-01-18 10:37:53
