shot_id;tag_id
1;9
1;1
1;8
2;6
2;1
2;8
3;8
3;5
3;3
3;6
3;7
4;7
4;3
5;1
5;5
5;7
5;9
5;4
6;7
6;8
6;4
6;1
7;6
7;1
7;4
7;1
7;9
8;7
9;3
9;9
10;1
11;8
12;4
12;8
13;1
14;1
15;2
15;6
15;9
15;7
16;9
16;6
16;7
17;4
17;3
17;1
17;1
17;7
18;1
18;6
18;9
19;1
20;3
20;8
21;2
21;7
22;1
22;3
22;9
22;4
22;6
23;7
23;1
23;9
23;4
24;1
24;1
24;5
24;7
24;4
25;3
26;6
27;3
27;6
28;2
28;1
28;8
28;4
28;6
29;1
29;8
30;6
30;9
31;1
31;3
31;1
32;1
33;9
33;7
33;1
33;3
33;5
34;7
35;9
35;5
35;7
36;3
36;1
36;5
36;7
36;1
37;3
37;5
37;4
37;6
38;4
39;7
39;4
39;3
39;1
40;6
41;7
42;3
42;1
43;3
43;1
43;8
43;2
43;7
44;1
44;4
44;5
44;2
45;3
45;1
45;4
45;8
45;7
46;8
46;1
46;1
46;5
47;4
47;3
47;8
47;5
48;4
48;8
48;6
48;7
49;6
49;1
49;8
50;6
51;9
51;7
51;4
51;2
51;3
52;9
52;5
52;3
52;6
53;7
53;9
53;4
53;5
53;2
54;4
54;3
54;1
54;2
54;9
55;6
55;5
55;1
55;8
55;2
56;7
56;2
56;4
57;7
57;9
57;1
57;2
58;7
58;5
58;4
59;5
59;1
59;3
60;4
60;9
61;3
61;5
62;6
63;8
63;7
63;3
63;1
64;2
65;8
65;1
65;7
65;5
66;5
66;3
66;7
67;1
67;2
67;3
67;7
67;5
68;3
68;5
68;8
68;6
68;1
69;1
69;8
69;5
69;1
69;2
70;9
70;5
70;1
70;6
71;1
72;9
72;1
72;4
72;8
72;6
73;8
73;2
73;4
73;1
73;3
74;8
74;4
74;5
75;6
76;1
76;9
76;4
76;6
77;8
77;1
77;6
77;5
77;3
78;1
79;1
79;3
79;5
80;5
80;7
80;3
80;2
81;1
81;9
81;4
82;6
82;1
83;5
84;6
84;8
84;1
84;5
85;5
86;2
86;6
86;7
87;5
88;7
89;8
89;7
90;1
90;8
90;3
90;4
91;1
91;2
92;2
92;8
93;1
93;5
93;8
93;4
94;3
95;4
95;5
95;2
96;5
96;9
96;7
96;2
96;4
97;8
97;1
98;1
99;8
100;2
100;7
100;6
100;5
100;4
101;5
101;1
101;3
101;2
101;6
102;4
102;5
102;9
102;1
102;1
103;5
103;4
104;1
