shot_id;user_id;created_at
457;41;2024-01-28
31;2;2025-07-01
394;28;2025-07-01
178;24;2023-04-09
492;45;2024-02-21
158;11;2023-06-18
59;15;2023-08-08
450;35;2025-04-30
344;11;2024-10-20
119;8;2026-11-26
274;50;2025-02-17
493;15;2024-02-18
57;47;2026-10-28
217;11;2023-05-07
65;36;2024-07-21
324;4;2023-11-04
87;12;2026-12-08
499;40;2024-06-02
61;32;2023-04-18
399;21;2024-11-05
283;35;2023-03-30
81;49;2026-02-16
479;41;2026-07-30
61;39;2026-05-25
242;6;2023-07-25
474;29;2026-05-18
329;42;2023-09-28
420;18;2024-03-27
1;44;2025-09-22
63;19;2025-03-13
190;30;2024-02-03
120;15;2025-03-01
352;32;2023-12-11
119;18;2023-04-21
288;22;2026-06-22
384;38;2023-06-30
333;38;2025-08-14
162;2;2024-12-06
323;45;2025-11-26
434;16;2024-01-20
136;48;2023-04-25
416;1;2026-09-07
249;39;2026-07-22
394;47;2024-04-26
129;48;2023-07-06
182;43;2025-02-15
106;27;2026-08-31
135;39;2023-03-05
463;15;2025-12-19
491;35;2025-03-17
201;2;2024-07-15
446;29;2026-11-26
467;15;2025-01-24
157;22;2025-07-25
192;49;2026-12-26
465;30;2024-11-06
331;50;2025-02-24
332;1;2025-06-07
83;8;2025-05-31
377;9;2025-01-11
416;12;2026-07-20
274;10;2025-03-10
388;1;2023-03-28
343;48;2024-04-06
174;16;2026-07-03
235;11;2024-07-17
34;18;2025-05-02
64;42;2023-07-20
473;32;2025-04-07
76;1;2023-09-15
194;40;2024-07-18
499;28;2026-10-17
247;8;2025-11-15
260;33;2026-07-17
167;45;2023-05-17
470;39;2023-09-28
468;5;2026-08-21
463;33;2024-06-07
50;3;2025-09-19
213;50;2024-04-05
494;46;2024-11-12
189;32;2025-08-05
297;28;2026-02-10
489;3;2025-11-22
239;41;2024-08-14
276;49;2024-02-05
104;2;2026-10-22
59;14;2024-03-10
215;16;2025-08-10
341;24;2025-02-05
128;50;2025-12-31
409;39;2026-12-08
376;35;2023-03-27
365;13;2025-06-10
147;40;2026-03-26
411;13;2025-10-11
89;49;2024-04-25
383;32;2026-03-24
84;30;2025-09-15
355;26;2025-11-07
419;39;2026-02-06
141;28;2025-02-07
315;6;2026-03-10
280;29;2025-08-21
465;44;2023-11-22
54;4;2023-08-31
476;3;2023-09-16
138;17;2024-07-28
43;43;2024-03-16
279;32;2024-12-09
480;39;2026-07-08
194;38;2024-07-10
206;43;2023-10-23
97;27;2026-06-16
9;46;2024-02-29
196;10;2023-09-25
441;49;2023-02-27
83;10;2023-11-25
59;46;2026-09-19
439;35;2024-06-17
82;28;2023-05-01
253;20;2025-03-24
43;41;2024-09-11
398;45;2023-02-05
361;44;2026-06-21
415;44;2026-01-21
373;18;2025-08-11
262;19;2023-07-17
135;47;2025-05-06
186;34;2026-09-26
438;2;2025-10-15
115;21;2026-08-08
327;46;2025-07-02
215;25;2025-07-15
218;7;2024-05-02
111;3;2026-09-28
213;35;2023-06-16
105;21;2026-08-13
50;30;2023-06-27
402;43;2024-10-10
113;15;2025-08-15
310;6;2026-12-03
365;24;2023-01-14
231;50;2025-07-18
20;29;2023-02-08
167;12;2026-07-23
58;11;2025-07-25
81;47;2024-10-11
300;38;2023-01-30
229;40;2026-01-04
260;47;2025-01-09
300;49;2024-09-22
216;45;2026-02-08
269;6;2025-08-10
197;39;2025-01-03
27;5;2026-08-07
54;34;2024-01-16
235;9;2026-02-17
249;24;2023-10-18
217;44;2026-01-23
296;4;2026-08-13
438;44;2025-11-14
414;33;2025-03-21
171;47;2025-07-01
435;43;2026-04-08
27;38;2026-11-27
357;26;2025-03-10
378;42;2023-12-25
248;29;2025-10-01
250;2;2023-10-28
369;25;2023-07-20
178;37;2026-02-25
130;20;2026-10-11
125;34;2026-09-16
221;39;2024-11-27
307;10;2026-07-04
120;25;2023-02-06
36;24;2023-02-13
297;25;2023-03-25
241;13;2026-06-29
483;32;2024-01-18
321;26;2025-12-30
497;31;2026-08-07
354;30;2025-06-26
234;7;2023-11-27
457;42;2026-03-20
97;31;2025-04-28
233;24;2024-01-02
193;27;2023-02-04
484;6;2025-02-20
46;17;2026-05-14
64;11;2025-05-27
99;19;2026-11-30
380;23;2025-04-03
57;31;2024-08-26
72;5;2025-10-12
489;10;2025-03-20
16;11;2023-06-20
50;24;2025-12-22
168;31;2026-10-19
205;40;2025-08-09
420;5;2023-08-12
147;21;2024-01-09
191;7;2026-12-19
366;13;2025-03-25
294;19;2026-11-13
393;33;2025-08-02
265;17;2023-12-10
161;9;2024-07-27
268;20;2026-04-01
455;33;2024-02-13
10;45;2026-11-09
2;2;2026-07-04
214;20;2023-01-10
288;3;2024-03-10
477;40;2024-10-19
315;48;2023-04-15
192;42;2026-02-10
169;18;2024-12-20
57;18;2025-12-25
279;50;2024-05-25
291;17;2023-06-01
226;1;2023-02-12
140;4;2025-10-19
499;23;2025-02-03
