team_id,user_id,role,joined_at
1,11,contributor,2024-03-04 18:23:29
1,43,member,2023-05-08 10:50:21
1,41,member,2026-10-12 00:12:31
2,10,member,2026-06-07 09:56:58
2,36,member,2025-01-30 04:36:09
2,17,contributor,2024-10-17 08:03:33
2,16,owner,2024-06-13 00:35:03
2,12,member,2026-03-04 11:24:51
3,20,owner,2026-11-12 22:58:20
3,1,contributor,2023-03-28 06:51:44
3,15,owner,2024-04-11 08:17:57
3,7,contributor,2025-12-03 08:15:13
4,42,member,2026-12-14 02:58:07
4,7,member,2024-12-16 03:34:15
4,9,owner,2023-02-17 17:31:39
5,23,member,2026-06-15 19:26:59
5,45,contributor,2026-11-04 01:25:37
6,27,owner,2025-10-10 02:31:09
6,45,contributor,2026-02-04 08:38:09
6,39,contributor,2023-07-14 16:21:18
7,12,contributor,2024-12-01 12:12:00
7,42,owner,2026-06-18 02:53:36
7,22,owner,2024-07-17 21:49:00
8,48,contributor,2024-06-28 21:31:30
8,3,owner,2024-01-03 01:30:29
8,37,owner,2024-07-06 02:36:24
9,15,member,2026-03-08 23:19:21
9,18,member,2025-01-30 23:21:53
9,33,contributor,2026-01-29 10:14:36
9,9,member,2025-08-27 01:16:24
10,20,contributor,2026-07-11 16:04:05
10,21,member,2023-08-31 08:17:21
10,30,owner,2026-07-19 00:59:45
