follower_id,following_id,created_at
7,14,2025-03-28 01:25:28
48,13,2024-03-01 07:13:19
15,3,2025-08-01 13:43:53
43,48,2026-01-24 19:04:38
15,21,2025-08-13 15:33:35
30,47,2026-08-24 12:30:42
2,17,2026-08-14 22:56:19
49,1,2026-05-21 15:40:23
8,34,2023-02-21 16:12:28
13,39,2023-12-03 11:33:32
14,27,2024-05-08 06:54:30
32,10,2025-04-03 14:02:35
10,11,2026-09-24 23:44:39
32,26,2026-08-10 11:15:01
15,9,2023-10-21 16:33:55
45,12,2024-10-27 00:11:14
25,12,2025-04-10 05:06:42
25,36,2023-09-30 09:38:12
26,4,2024-05-14 01:13:26
31,38,2025-03-22 15:39:40
25,38,2026-04-23 15:45:44
46,22,2026-04-05 13:14:07
31,44,2026-11-19 16:10:21
11,2,2023-11-21 06:55:54
20,41,2025-03-05 18:21:22
48,32,2026-10-06 11:18:22
9,13,2023-01-15 18:38:55
8,23,2025-05-08 14:08:03
31,47,2026-09-24 10:16:22
43,31,2024-04-18 15:49:45
24,28,2023-03-23 06:50:00
41,22,2026-08-22 02:19:31
38,33,2024-01-13 18:05:06
14,46,2024-12-07 02:02:23
42,6,2025-12-18 16:07:06
39,29,2025-07-02 04:21:05
16,50,2026-12-08 13:37:32
19,5,2025-10-08 16:07:30
13,10,2026-02-18 21:17:05
34,35,2023-08-18 23:41:30
41,21,2026-06-18 01:22:58
7,32,2023-03-20 10:59:06
1,46,2025-10-25 08:01:13
33,1,2025-04-14 21:19:11
34,11,2026-06-01 23:14:30
9,7,2023-10-27 19:37:13
20,27,2025-10-31 20:41:45
40,49,2026-10-25 20:21:24
25,6,2025-02-25 13:42:39
31,20,2024-01-26 01:08:28
12,41,2024-04-11 04:22:08
40,24,2026-12-08 15:37:36
25,23,2026-06-13 22:21:02
12,43,2026-10-22 16:38:03
9,42,2023-02-08 19:34:01
36,42,2026-03-17 09:49:32
27,35,2024-07-07 01:26:40
10,29,2023-07-01 02:12:54
42,43,2025-05-01 00:14:22
29,36,2024-03-11 19:59:54
45,48,2024-08-08 01:57:56
8,28,2025-05-13 21:18:48
12,47,2024-10-05 16:04:45
38,45,2025-03-28 00:10:33
18,37,2023-09-04 04:40:11
11,3,2026-12-16 12:47:04
30,29,2026-10-09 01:19:47
40,47,2023-11-24 02:49:09
3,50,2026-04-15 10:48:14
47,42,2026-10-27 18:16:36
40,10,2025-04-23 01:57:56
2,21,2025-08-04 01:38:08
28,13,2023-05-29 11:11:32
42,21,2025-04-05 09:31:19
37,6,2026-07-03 02:32:40
39,14,2024-05-31 20:38:50
10,15,2025-07-31 20:46:28
37,12,2024-10-26 12:03:40
45,7,2023-06-01 06:35:21
46,16,2025-09-30 04:30:35
11,28,2026-11-28 00:45:05
34,48,2023-07-03 10:03:42
25,16,2023-07-26 15:39:59
8,29,2024-06-03 06:32:47
43,34,2026-04-08 18:11:27
43,50,2024-07-05 16:31:27
35,19,2026-01-16 05:06:21
43,8,2025-01-07 07:10:13
34,41,2024-07-13 23:41:06
20,3,2026-02-28 03:44:00
4,34,2025-04-30 13:28:31
32,34,2023-09-07 18:01:21
25,19,2024-06-21 21:38:04
12,50,2024-02-25 10:29:54
12,35,2025-03-30 06:11:11
2,22,2026-02-28 03:30:17
14,18,2026-05-10 17:46:26
35,31,2026-01-23 09:52:57
38,14,2025-01-31 07:17:24
1,29,2025-11-08 10:26:31
15,23,2024-12-15 00:16:29
30,33,2024-02-10 08:55:20
23,2,2023-09-19 07:08:43
17,48,2025-05-19 04:53:41
47,23,2023-11-01 22:14:51
36,14,2023-06-22 21:14:52
25,41,2024-05-19 09:39:41
6,8,2023-02-27 16:45:05
12,46,2026-01-26 01:47:41
8,9,2025-03-14 22:45:16
43,10,2023-10-17 20:45:27
28,7,2023-06-23 14:37:21
47,50,2025-03-01 18:28:28
10,41,2026-03-17 02:38:54
34,20,2025-02-04 21:13:24
9,48,2026-02-23 02:27:34
26,8,2023-05-13 20:58:24
45,36,2024-08-31 18:45:41
6,14,2025-09-17 03:44:19
49,33,2023-11-12 17:30:37
2,43,2025-09-27 11:55:17
18,41,2023-04-01 13:25:47
24,14,2023-04-06 09:57:20
25,39,2024-09-21 03:37:45
46,6,2025-02-04 22:29:38
25,4,2026-05-31 06:00:06
41,13,2026-09-04 14:22:25
50,47,2026-10-26 22:53:44
4,12,2026-11-12 06:01:35
8,50,2025-02-14 06:06:26
20,5,2026-04-10 17:18:32
28,50,2024-01-08 04:16:43
46,33,2025-08-05 00:10:20
20,34,2025-04-10 11:32:34
42,46,2024-03-03 01:59:39
23,32,2025-10-13 00:55:22
39,28,2026-03-17 13:34:13
17,37,2023-08-31 10:18:31
44,42,2026-05-12 07:20:27
22,15,2025-08-04 22:34:13
31,16,2026-08-01 02:09:29
44,48,2023-07-16 00:29:23
17,30,2026-02-16 17:40:07
48,18,2024-12-23 10:03:54
8,26,2024-06-11 04:51:02
20,9,2023-09-25 13:59:26
25,37,2024-02-29 15:26:30
1,41,2024-09-15 01:07:01
38,9,2023-03-31 00:41:37
43,42,2023-03-23 21:56:40
